127.0.0.1 - - [15/Dec/2022:08:10:00 +0800] "POST /nacos/v1/ns/instance?app=unknown&metadata=%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D&ip=192.168.94.1&weight=1.0&ephemeral=true&serviceName=DEFAULT_GROUP%40%40service-cmn&encoding=UTF-8&groupName=DEFAULT_GROUP&namespaceId=public&port=8202&enable=true&healthy=true&clusterName=DEFAULT HTTP/1.1" 200 2 1275 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:04 +0800] "PUT /nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.94.1%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8202%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-cmn%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=unknown&serviceName=DEFAULT_GROUP%40%40service-cmn&encoding=UTF-8&namespaceId=public HTTP/1.1" 200 75 49 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:09 +0800] "PUT /nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.94.1%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8202%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-cmn%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=unknown&serviceName=DEFAULT_GROUP%40%40service-cmn&encoding=UTF-8&namespaceId=public HTTP/1.1" 200 75 14 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:14 +0800] "POST /nacos/v1/ns/instance?app=unknown&metadata=%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D&ip=192.168.94.1&weight=1.0&ephemeral=true&serviceName=DEFAULT_GROUP%40%40service-msm&encoding=UTF-8&groupName=DEFAULT_GROUP&namespaceId=public&port=8204&enable=true&healthy=true&clusterName=DEFAULT HTTP/1.1" 200 2 9 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:14 +0800] "PUT /nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.94.1%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8202%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-cmn%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=unknown&serviceName=DEFAULT_GROUP%40%40service-cmn&encoding=UTF-8&namespaceId=public HTTP/1.1" 200 75 8 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:15 +0800] "POST /nacos/v1/ns/instance?app=unknown&metadata=%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D&ip=192.168.94.1&weight=1.0&ephemeral=true&serviceName=DEFAULT_GROUP%40%40service-oss&encoding=UTF-8&groupName=DEFAULT_GROUP&namespaceId=public&port=8205&enable=true&healthy=true&clusterName=DEFAULT HTTP/1.1" 200 2 10 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:17 +0800] "POST /nacos/v1/ns/instance?app=unknown&metadata=%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D&ip=192.168.94.1&weight=1.0&ephemeral=true&serviceName=DEFAULT_GROUP%40%40service-hosp&encoding=UTF-8&groupName=DEFAULT_GROUP&namespaceId=public&port=8201&enable=true&healthy=true&clusterName=DEFAULT HTTP/1.1" 200 2 6 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:17 +0800] "GET /nacos/v1/ns/operator/metrics?app=unknown&encoding=UTF-8&namespaceId=public HTTP/1.1" 200 187 769 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:17 +0800] "GET /nacos/v1/ns/service/list?app=unknown&pageSize=2147483647&groupName=DEFAULT_GROUP&encoding=UTF-8&namespaceId=public&pageNo=1 HTTP/1.1" 200 88 19 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:17 +0800] "POST /nacos/v1/ns/instance?app=unknown&metadata=%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D&ip=192.168.94.1&weight=1.0&ephemeral=true&serviceName=DEFAULT_GROUP%40%40service-statistics&encoding=UTF-8&groupName=DEFAULT_GROUP&namespaceId=public&port=8208&enable=true&healthy=true&clusterName=DEFAULT HTTP/1.1" 200 2 7 Nacos-Java-Client:v1.1.4 -
127.0.0.1 - - [15/Dec/2022:08:10:19 +0800] "GET /nacos/v1/ns/operator/metrics?app=unknown&encoding=UTF-8&namespaceId=public HTTP/1.1" 200 188 9 Nacos-Java-Client:v1.1.4 -
